asset_id,model_family,equipment_type,age_days,usage_hours_total
A00001,KX-Compact,tractor_like,2845,7882
A00002,M-Series,tractor_like,1631,10314
A00003,KX-Compact,tractor_like,2572,2481
A00004,KX-Compact,tractor_like,1964,11709
A00005,L-Utility,tractor_like,2799,8632
A00006,MX-HeavyDuty,tractor_like,1917,1607
A00007,MX-HeavyDuty,tractor_like,1693,6044
A00008,M-Series,tractor_like,739,11127
A00009,MX-HeavyDuty,tractor_like,2382,4876
A00010,MX-HeavyDuty,tractor_like,2031,5365
A00011,M-Series,tractor_like,898,1178
A00012,L-Utility,tractor_like,3250,840
A00013,MX-HeavyDuty,tractor_like,3036,3378
A00014,L-Utility,tractor_like,678,9116
A00015,L-Utility,tractor_like,1352,889
A00016,MX-HeavyDuty,tractor_like,1676,10726
A00017,L-Utility,tractor_like,2861,9138
A00018,KX-Compact,tractor_like,1385,5643
A00019,M-Series,tractor_like,245,6595
A00020,KX-Compact,tractor_like,2736,8221
A00021,MX-HeavyDuty,tractor_like,2741,4450
A00022,MX-HeavyDuty,tractor_like,1552,3963
A00023,MX-HeavyDuty,tractor_like,1408,990
A00024,M-Series,tractor_like,2922,2338
A00025,M-Series,tractor_like,552,8262
A00026,M-Series,tractor_like,1265,2784
A00027,L-Utility,tractor_like,2474,11288
A00028,M-Series,tractor_like,662,10005
A00029,L-Utility,tractor_like,2582,1238
A00030,M-Series,tractor_like,2823,10000
A00031,M-Series,tractor_like,2954,10112
A00032,M-Series,tractor_like,3287,3516
A00033,KX-Compact,tractor_like,2519,7670
A00034,KX-Compact,tractor_like,3054,2462
A00035,MX-HeavyDuty,tractor_like,116,9578
A00036,MX-HeavyDuty,tractor_like,2868,8005
A00037,M-Series,tractor_like,2600,3383
A00038,MX-HeavyDuty,tractor_like,2068,5550
A00039,L-Utility,tractor_like,2114,524
A00040,KX-Compact,tractor_like,963,1445
A00041,M-Series,tractor_like,2469,7880
A00042,M-Series,tractor_like,3134,6817
A00043,KX-Compact,tractor_like,2813,6929
A00044,L-Utility,tractor_like,2102,6678
A00045,KX-Compact,tractor_like,2080,9555
A00046,M-Series,tractor_like,2236,447
A00047,M-Series,tractor_like,1644,11794
A00048,KX-Compact,tractor_like,1074,4949
A00049,MX-HeavyDuty,tractor_like,3128,493
A00050,KX-Compact,tractor_like,3015,774
A00051,MX-HeavyDuty,tractor_like,1091,11018
A00052,M-Series,tractor_like,1636,7970
A00053,KX-Compact,tractor_like,2073,6099
A00054,MX-HeavyDuty,tractor_like,3636,7998
A00055,M-Series,tractor_like,1536,5062
A00056,MX-HeavyDuty,tractor_like,1233,2070
A00057,M-Series,tractor_like,170,1345
A00058,KX-Compact,tractor_like,2836,8690
A00059,L-Utility,tractor_like,1734,8627
A00060,KX-Compact,tractor_like,3296,6052
A00061,MX-HeavyDuty,tractor_like,632,6008
A00062,L-Utility,tractor_like,1854,5398
A00063,KX-Compact,tractor_like,1446,2926
A00064,M-Series,tractor_like,2523,7592
A00065,L-Utility,tractor_like,1378,11519
A00066,KX-Compact,tractor_like,1309,1486
A00067,M-Series,tractor_like,3514,4445
A00068,MX-HeavyDuty,tractor_like,1852,8420
A00069,M-Series,tractor_like,1036,9189
A00070,MX-HeavyDuty,tractor_like,1028,9362
A00071,M-Series,tractor_like,2642,9484
A00072,M-Series,tractor_like,2713,3325
A00073,KX-Compact,tractor_like,433,5408
A00074,MX-HeavyDuty,tractor_like,544,5512
A00075,L-Utility,tractor_like,810,8681
A00076,M-Series,tractor_like,2968,6984
A00077,L-Utility,tractor_like,719,5601
A00078,MX-HeavyDuty,tractor_like,159,9121
A00079,M-Series,tractor_like,2651,7986
A00080,M-Series,tractor_like,1188,7557
A00081,KX-Compact,tractor_like,2169,1208
A00082,L-Utility,tractor_like,2328,1086
A00083,MX-HeavyDuty,tractor_like,1570,9459
A00084,KX-Compact,tractor_like,728,5968
A00085,KX-Compact,tractor_like,1264,7954
A00086,KX-Compact,tractor_like,2502,1312
A00087,KX-Compact,tractor_like,2182,9538
A00088,KX-Compact,tractor_like,1157,11107
A00089,MX-HeavyDuty,tractor_like,2158,5408
A00090,M-Series,tractor_like,2270,7123
A00091,M-Series,tractor_like,171,1885
A00092,MX-HeavyDuty,tractor_like,1578,5829
A00093,M-Series,tractor_like,2876,854
A00094,KX-Compact,tractor_like,1072,5880
A00095,L-Utility,tractor_like,1836,5338
A00096,MX-HeavyDuty,tractor_like,663,6894
A00097,L-Utility,tractor_like,1775,9706
A00098,M-Series,tractor_like,3485,4032
A00099,L-Utility,tractor_like,1943,10209
A00100,M-Series,tractor_like,1103,337
A00101,M-Series,tractor_like,3031,198
A00102,MX-HeavyDuty,tractor_like,2022,1751
A00103,M-Series,tractor_like,2062,3843
A00104,KX-Compact,tractor_like,2460,8093
A00105,KX-Compact,tractor_like,1091,2986
A00106,L-Utility,tractor_like,2689,8745
A00107,MX-HeavyDuty,tractor_like,2826,3902
A00108,KX-Compact,tractor_like,2278,10998
A00109,MX-HeavyDuty,tractor_like,909,2898
A00110,KX-Compact,tractor_like,592,6693
A00111,L-Utility,tractor_like,1410,3774
A00112,MX-HeavyDuty,tractor_like,1727,9714
A00113,MX-HeavyDuty,tractor_like,1219,2496
A00114,MX-HeavyDuty,tractor_like,2349,3547
A00115,L-Utility,tractor_like,1923,10873
A00116,M-Series,tractor_like,3619,11237
A00117,KX-Compact,tractor_like,676,6435
A00118,KX-Compact,tractor_like,1153,5266
A00119,MX-HeavyDuty,tractor_like,3622,1886
A00120,MX-HeavyDuty,tractor_like,413,9003
A00121,MX-HeavyDuty,tractor_like,3261,2743
A00122,MX-HeavyDuty,tractor_like,502,6264
A00123,M-Series,tractor_like,1214,343
A00124,MX-HeavyDuty,tractor_like,1284,7967
A00125,M-Series,tractor_like,1420,10644
A00126,KX-Compact,tractor_like,2712,8981
A00127,M-Series,tractor_like,1024,143
A00128,MX-HeavyDuty,tractor_like,3463,2952
A00129,KX-Compact,tractor_like,527,886
A00130,MX-HeavyDuty,tractor_like,3265,1907
A00131,L-Utility,tractor_like,728,4457
A00132,L-Utility,tractor_like,2652,10504
A00133,KX-Compact,tractor_like,789,3423
A00134,M-Series,tractor_like,3642,9346
A00135,M-Series,tractor_like,3549,6031
A00136,L-Utility,tractor_like,1633,1795
A00137,MX-HeavyDuty,tractor_like,139,2157
A00138,KX-Compact,tractor_like,1084,1651
A00139,KX-Compact,tractor_like,2502,11634
A00140,KX-Compact,tractor_like,1145,6115
A00141,MX-HeavyDuty,tractor_like,2561,9212
