event_id,case_id,task_type,duration_days,environment_score,avg_load_factor,is_demo
E000001,C000001,material_handling,6,0.864,0.496,False
E000002,C000002,planting,3,0.629,0.704,True
E000003,C000003,clearing_land,3,0.641,0.546,False
E000004,C000004,planting,1,0.49,0.825,True
E000005,C000005,material_handling,3,0.405,1.126,False
E000006,C000006,clearing_land,2,0.67,1.235,False
E000007,C000007,planting,7,0.133,0.748,False
E000008,C000008,material_handling,6,0.356,1.168,False
E000009,C000009,material_handling,5,0.372,0.765,False
E000010,C000010,material_handling,6,0.329,1.185,True
E000011,C000011,clearing_land,6,0.783,1.237,False
E000012,C000012,planting,7,0.189,1.053,False
E000013,C000013,clearing_land,3,0.245,1.202,False
E000014,C000014,clearing_land,4,0.269,1.241,False
E000015,C000015,planting,4,0.408,0.592,False
E000016,C000016,planting,1,0.278,1.073,False
E000017,C000017,material_handling,4,0.888,0.938,False
E000018,C000018,planting,6,0.797,0.543,False
E000019,C000019,clearing_land,3,0.232,1.139,False
E000020,C000020,material_handling,7,0.273,0.627,False
E000021,C000021,planting,1,0.21,1.132,False
E000022,C000022,material_handling,5,0.468,0.795,True
E000023,C000023,planting,4,0.547,0.879,False
E000024,C000024,planting,1,0.517,1.002,False
E000025,C000025,material_handling,3,0.488,0.479,False
E000026,C000026,clearing_land,3,0.185,1.144,False
E000027,C000027,planting,1,0.285,1.231,False
E000028,C000028,material_handling,1,0.303,0.8,True
E000029,C000029,clearing_land,1,0.53,0.787,False
E000030,C000030,material_handling,5,0.483,1.1,False
E000031,C000031,planting,5,0.735,0.506,False
E000032,C000032,clearing_land,3,0.597,1.119,False
E000033,C000033,material_handling,2,0.338,1.181,True
E000034,C000034,material_handling,2,0.567,1.098,True
E000035,C000035,planting,6,0.521,0.61,True
E000036,C000036,clearing_land,6,0.75,1.184,False
E000037,C000037,planting,3,0.739,0.958,False
E000038,C000038,material_handling,3,0.675,0.868,True
E000039,C000039,planting,2,0.649,0.949,False
E000040,C000040,material_handling,7,0.576,0.932,False
E000041,C000041,planting,3,0.605,0.854,False
E000042,C000042,planting,7,0.12,1.129,False
E000043,C000043,clearing_land,1,0.957,0.46,False
E000044,C000044,material_handling,7,0.432,0.59,False
E000045,C000045,material_handling,7,0.641,1.061,False
E000046,C000046,clearing_land,4,0.425,1.132,True
E000047,C000047,material_handling,3,0.181,0.47,False
E000048,C000048,material_handling,6,0.871,0.528,False
E000049,C000049,planting,2,0.267,0.709,False
E000050,C000050,material_handling,2,0.16,0.481,False
E000051,C000051,clearing_land,7,0.441,0.92,False
E000052,C000052,material_handling,6,0.446,0.595,False
E000053,C000053,planting,6,0.876,1.118,False
E000054,C000054,clearing_land,2,0.143,1.06,False
E000055,C000055,material_handling,3,0.939,0.996,False
E000056,C000056,material_handling,4,0.282,0.882,False
E000057,C000057,clearing_land,4,0.195,0.721,False
E000058,C000058,planting,7,0.247,0.901,False
E000059,C000059,clearing_land,5,0.336,0.821,False
E000060,C000060,clearing_land,6,0.922,0.521,False
E000061,C000061,clearing_land,7,0.617,0.824,False
E000062,C000062,planting,1,0.304,0.853,False
E000063,C000063,planting,6,0.577,1.015,False
E000064,C000064,planting,1,0.416,0.623,False
E000065,C000065,clearing_land,2,0.396,1.035,False
E000066,C000066,planting,4,0.844,0.997,False
E000067,C000067,planting,1,0.512,0.466,False
E000068,C000068,clearing_land,5,0.988,0.521,False
E000069,C000069,clearing_land,2,0.392,1.089,False
E000070,C000070,planting,4,0.215,1.194,False
E000071,C000071,material_handling,1,0.635,0.646,False
E000072,C000072,planting,6,0.642,0.752,False
E000073,C000073,planting,6,0.115,1.221,False
E000074,C000074,material_handling,4,0.274,0.883,False
E000075,C000075,planting,4,0.984,1.221,False
E000076,C000076,material_handling,2,0.359,0.606,True
E000077,C000077,planting,5,0.731,1.083,False
E000078,C000078,planting,7,0.344,0.841,False
E000079,C000079,clearing_land,5,0.734,1.106,False
E000080,C000080,planting,6,0.591,0.943,False
E000081,C000081,clearing_land,2,0.553,0.988,False
E000082,C000082,planting,5,0.683,0.558,False
E000083,C000083,clearing_land,6,0.916,1.152,False
E000084,C000084,material_handling,4,0.106,0.681,False
E000085,C000085,planting,4,0.216,1.103,False
E000086,C000086,clearing_land,5,0.238,1.12,False
E000087,C000087,clearing_land,5,0.838,0.655,False
E000088,C000088,clearing_land,5,0.244,0.706,True
E000089,C000089,material_handling,2,0.283,0.704,False
E000090,C000090,clearing_land,1,0.185,0.728,False
E000091,C000091,material_handling,1,0.398,0.986,False
E000092,C000092,material_handling,5,0.251,1.23,False
E000093,C000093,material_handling,7,0.728,0.627,False
E000094,C000094,clearing_land,2,0.824,0.8,False
E000095,C000095,material_handling,2,0.958,0.466,True
E000096,C000096,clearing_land,7,0.838,0.859,True
E000097,C000097,clearing_land,2,0.277,0.511,False
E000098,C000098,clearing_land,1,0.744,0.736,False
E000099,C000099,planting,7,0.274,0.702,True
E000100,C000100,material_handling,1,0.166,0.593,False
E000101,C000101,clearing_land,4,0.845,1.067,False
E000102,C000102,material_handling,5,0.917,0.507,True
E000103,C000103,material_handling,6,0.155,0.809,False
E000104,C000104,clearing_land,5,0.29,0.484,False
E000105,C000105,planting,1,0.941,1.08,False
E000106,C000106,planting,7,0.56,1.099,False
E000107,C000107,material_handling,2,0.147,1.044,False
E000108,C000108,material_handling,1,0.618,0.904,False
E000109,C000109,material_handling,6,0.473,0.712,False
E000110,C000110,material_handling,4,0.458,0.779,False
E000111,C000111,clearing_land,4,0.7,1.143,False
E000112,C000112,planting,5,0.71,1.082,False
E000113,C000113,clearing_land,4,0.294,1.201,True
E000114,C000114,planting,6,0.86,1.092,False
E000115,C000115,clearing_land,4,0.651,1.171,False
E000116,C000116,clearing_land,1,0.499,0.944,False
E000117,C000117,planting,4,0.738,0.965,False
E000118,C000118,clearing_land,4,0.493,0.617,True
E000119,C000119,material_handling,3,0.918,0.925,False
E000120,C000120,material_handling,7,0.696,0.542,False
E000121,C000121,planting,5,0.527,0.723,False
E000122,C000122,planting,4,0.312,0.457,False
E000123,C000123,planting,2,0.67,0.602,False
E000124,C000124,material_handling,6,0.463,0.638,False
E000125,C000125,planting,7,0.661,0.736,False
E000126,C000126,clearing_land,4,0.376,0.795,False
E000127,C000127,planting,3,0.372,1.243,False
E000128,C000128,planting,3,0.88,0.468,True
E000129,C000129,material_handling,3,0.504,0.75,True
E000130,C000130,clearing_land,4,0.364,0.695,False
E000131,C000131,planting,3,0.201,1.078,False
E000132,C000132,planting,3,0.926,0.776,False
E000133,C000133,planting,7,0.475,0.741,True
E000134,C000134,planting,2,0.836,0.664,False
E000135,C000135,planting,4,0.95,0.574,False
E000136,C000136,planting,3,0.43,1.157,False
E000137,C000137,material_handling,3,0.983,0.591,True
E000138,C000138,clearing_land,2,0.891,0.692,False
E000139,C000139,planting,6,0.728,0.758,False
E000140,C000140,planting,5,0.606,0.763,False
E000141,C000141,clearing_land,3,0.626,0.786,False
E000142,C000142,planting,4,0.997,0.529,True
E000143,C000143,planting,1,0.92,1.046,False
E000144,C000144,planting,4,0.319,1.04,False
E000145,C000145,clearing_land,3,0.735,1.114,True
E000146,C000146,clearing_land,4,0.9,1.203,False
E000147,C000147,clearing_land,2,0.353,0.699,False
E000148,C000148,clearing_land,4,0.661,0.684,False
E000149,C000149,clearing_land,4,0.69,1.119,False
E000150,C000150,material_handling,6,0.699,0.851,False
E000151,C000151,clearing_land,7,0.884,0.571,False
E000152,C000152,material_handling,4,0.584,0.961,False
E000153,C000153,material_handling,2,0.322,1.216,False
E000154,C000154,clearing_land,1,0.938,1.001,False
E000155,C000155,planting,1,0.83,0.978,False
E000156,C000156,planting,2,0.456,0.682,False
E000157,C000157,planting,2,0.507,0.797,False
E000158,C000158,clearing_land,7,0.441,1.117,True
E000159,C000159,material_handling,6,0.992,0.555,False
E000160,C000160,material_handling,3,0.674,1.214,False
E000161,C000161,material_handling,7,0.517,1.015,False
E000162,C000162,clearing_land,4,0.242,0.81,False
E000163,C000163,clearing_land,6,0.742,0.63,False
E000164,C000164,material_handling,6,0.374,1.225,True
