failure_id,event_id,part_id,day_of_event,failed_qty
F000001_wheel_3,E000001,wheel,3,1
F000001_windshield_3,E000001,windshield,3,2
F000001_engine_6,E000001,engine,6,1
F000002_wheel_2,E000002,wheel,2,1
F000002_wheel_3,E000002,wheel,3,1
F000002_windshield_1,E000002,windshield,1,1
F000002_engine_3,E000002,engine,3,1
F000003_wheel_1,E000003,wheel,1,1
F000005_wheel_3,E000005,wheel,3,1
F000006_wheel_1,E000006,wheel,1,1
F000006_wheel_2,E000006,wheel,2,1
F000006_body_1,E000006,body,1,1
F000006_body_2,E000006,body,2,1
F000006_engine_2,E000006,engine,2,1
F000007_wheel_2,E000007,wheel,2,1
F000007_wheel_3,E000007,wheel,3,1
F000007_body_4,E000007,body,4,1
F000007_engine_3,E000007,engine,3,1
F000007_engine_4,E000007,engine,4,1
F000008_wheel_3,E000008,wheel,3,1
F000008_wheel_4,E000008,wheel,4,1
F000008_body_3,E000008,body,3,1
F000008_body_5,E000008,body,5,1
F000009_wheel_4,E000009,wheel,4,1
F000009_engine_4,E000009,engine,4,1
F000010_wheel_2,E000010,wheel,2,1
F000010_wheel_5,E000010,wheel,5,1
F000010_windshield_2,E000010,windshield,2,1
F000010_engine_3,E000010,engine,3,1
F000010_engine_5,E000010,engine,5,1
F000011_body_5,E000011,body,5,1
F000011_windshield_2,E000011,windshield,2,3
F000011_engine_6,E000011,engine,6,2
F000012_wheel_2,E000012,wheel,2,1
F000012_body_5,E000012,body,5,1
F000012_body_6,E000012,body,6,1
F000012_body_7,E000012,body,7,1
F000012_engine_5,E000012,engine,5,1
F000013_wheel_1,E000013,wheel,1,1
F000014_body_2,E000014,body,2,1
F000014_windshield_2,E000014,windshield,2,1
F000015_wheel_3,E000015,wheel,3,1
F000016_windshield_1,E000016,windshield,1,1
F000017_wheel_1,E000017,wheel,1,1
F000017_wheel_2,E000017,wheel,2,1
F000017_windshield_2,E000017,windshield,2,1
F000018_wheel_3,E000018,wheel,3,1
F000018_wheel_4,E000018,wheel,4,1
F000018_wheel_6,E000018,wheel,6,1
F000018_body_2,E000018,body,2,1
F000018_body_4,E000018,body,4,1
F000018_windshield_5,E000018,windshield,5,1
F000019_wheel_3,E000019,wheel,3,1
F000019_engine_1,E000019,engine,1,1
F000020_wheel_6,E000020,wheel,6,1
F000020_windshield_4,E000020,windshield,4,2
F000020_engine_3,E000020,engine,3,1
F000021_wheel_1,E000021,wheel,1,1
F000021_body_1,E000021,body,1,1
F000022_wheel_1,E000022,wheel,1,1
F000022_wheel_3,E000022,wheel,3,2
F000022_body_1,E000022,body,1,1
F000022_windshield_2,E000022,windshield,2,1
F000022_windshield_5,E000022,windshield,5,1
F000023_wheel_1,E000023,wheel,1,1
F000025_body_3,E000025,body,3,1
F000026_wheel_3,E000026,wheel,3,1
F000028_wheel_1,E000028,wheel,1,1
F000029_wheel_1,E000029,wheel,1,1
F000030_body_3,E000030,body,3,1
F000031_windshield_3,E000031,windshield,3,1
F000031_engine_4,E000031,engine,4,1
F000032_wheel_1,E000032,wheel,1,1
F000035_wheel_6,E000035,wheel,6,1
F000035_body_3,E000035,body,3,2
F000035_engine_3,E000035,engine,3,1
F000035_engine_5,E000035,engine,5,1
F000036_wheel_3,E000036,wheel,3,1
F000036_wheel_4,E000036,wheel,4,1
F000036_windshield_4,E000036,windshield,4,1
F000037_wheel_1,E000037,wheel,1,1
F000037_wheel_2,E000037,wheel,2,1
F000037_wheel_3,E000037,wheel,3,1
F000038_body_1,E000038,body,1,1
F000040_wheel_5,E000040,wheel,5,1
F000040_wheel_6,E000040,wheel,6,2
F000040_windshield_2,E000040,windshield,2,1
F000040_engine_1,E000040,engine,1,2
F000042_windshield_2,E000042,windshield,2,1
F000042_windshield_6,E000042,windshield,6,1
F000042_engine_2,E000042,engine,2,1
F000042_engine_3,E000042,engine,3,1
F000043_wheel_1,E000043,wheel,1,1
F000044_wheel_3,E000044,wheel,3,1
F000044_wheel_4,E000044,wheel,4,1
F000044_wheel_7,E000044,wheel,7,1
F000044_windshield_5,E000044,windshield,5,2
F000044_engine_7,E000044,engine,7,1
F000045_wheel_1,E000045,wheel,1,1
F000045_wheel_7,E000045,wheel,7,1
F000045_windshield_1,E000045,windshield,1,1
F000045_windshield_7,E000045,windshield,7,1
F000046_wheel_1,E000046,wheel,1,1
F000046_wheel_2,E000046,wheel,2,1
F000046_engine_4,E000046,engine,4,1
F000047_windshield_1,E000047,windshield,1,1
F000048_wheel_1,E000048,wheel,1,1
F000048_wheel_5,E000048,wheel,5,1
F000048_windshield_3,E000048,windshield,3,1
F000048_windshield_6,E000048,windshield,6,1
F000049_wheel_2,E000049,wheel,2,1
F000050_wheel_1,E000050,wheel,1,1
F000051_wheel_3,E000051,wheel,3,1
F000051_wheel_4,E000051,wheel,4,1
F000051_body_2,E000051,body,2,1
F000051_engine_6,E000051,engine,6,1
F000051_engine_7,E000051,engine,7,1
F000052_engine_6,E000052,engine,6,1
F000053_wheel_4,E000053,wheel,4,2
F000053_wheel_5,E000053,wheel,5,1
F000053_wheel_6,E000053,wheel,6,2
F000054_body_1,E000054,body,1,1
F000055_wheel_3,E000055,wheel,3,1
F000055_windshield_3,E000055,windshield,3,1
F000056_wheel_1,E000056,wheel,1,1
F000056_wheel_2,E000056,wheel,2,1
F000056_wheel_3,E000056,wheel,3,1
F000056_wheel_4,E000056,wheel,4,1
F000056_windshield_4,E000056,windshield,4,1
F000057_wheel_4,E000057,wheel,4,1
F000057_windshield_3,E000057,windshield,3,1
F000058_wheel_1,E000058,wheel,1,1
F000058_wheel_3,E000058,wheel,3,1
F000058_wheel_5,E000058,wheel,5,2
F000059_wheel_2,E000059,wheel,2,1
F000059_engine_3,E000059,engine,3,1
F000060_wheel_6,E000060,wheel,6,1
F000060_body_1,E000060,body,1,1
F000060_body_3,E000060,body,3,1
F000060_body_4,E000060,body,4,2
F000060_body_6,E000060,body,6,1
F000060_windshield_4,E000060,windshield,4,1
F000060_engine_3,E000060,engine,3,1
F000060_engine_4,E000060,engine,4,1
F000060_engine_6,E000060,engine,6,1
F000061_wheel_3,E000061,wheel,3,2
F000061_wheel_5,E000061,wheel,5,2
F000061_body_1,E000061,body,1,1
F000063_wheel_2,E000063,wheel,2,1
F000063_wheel_5,E000063,wheel,5,1
F000063_engine_6,E000063,engine,6,1
F000064_engine_1,E000064,engine,1,1
F000065_engine_1,E000065,engine,1,1
F000065_engine_2,E000065,engine,2,1
F000066_wheel_2,E000066,wheel,2,1
F000066_windshield_2,E000066,windshield,2,1
F000066_windshield_3,E000066,windshield,3,1
F000068_body_1,E000068,body,1,1
F000068_body_3,E000068,body,3,1
F000068_windshield_5,E000068,windshield,5,1
F000068_engine_5,E000068,engine,5,2
F000069_windshield_1,E000069,windshield,1,1
F000069_windshield_2,E000069,windshield,2,1
F000070_wheel_2,E000070,wheel,2,1
F000071_wheel_1,E000071,wheel,1,1
F000071_windshield_1,E000071,windshield,1,1
F000072_wheel_2,E000072,wheel,2,1
F000072_windshield_5,E000072,windshield,5,1
F000073_wheel_4,E000073,wheel,4,1
F000073_body_2,E000073,body,2,1
F000073_windshield_5,E000073,windshield,5,1
F000074_body_1,E000074,body,1,1
F000074_windshield_2,E000074,windshield,2,1
F000075_body_4,E000075,body,4,1
F000077_wheel_2,E000077,wheel,2,1
F000077_wheel_5,E000077,wheel,5,2
F000077_engine_1,E000077,engine,1,1
F000079_windshield_2,E000079,windshield,2,1
F000079_engine_5,E000079,engine,5,1
F000080_wheel_4,E000080,wheel,4,1
F000082_wheel_1,E000082,wheel,1,1
F000082_windshield_2,E000082,windshield,2,1
F000083_wheel_2,E000083,wheel,2,1
F000083_body_3,E000083,body,3,1
F000083_windshield_3,E000083,windshield,3,1
F000083_engine_1,E000083,engine,1,1
F000084_windshield_1,E000084,windshield,1,1
F000084_windshield_2,E000084,windshield,2,1
F000084_windshield_4,E000084,windshield,4,1
F000085_engine_1,E000085,engine,1,1
F000085_engine_2,E000085,engine,2,1
F000085_engine_4,E000085,engine,4,2
F000086_wheel_3,E000086,wheel,3,1
F000086_wheel_5,E000086,wheel,5,1
F000086_windshield_3,E000086,windshield,3,1
F000086_engine_2,E000086,engine,2,1
F000087_wheel_1,E000087,wheel,1,5
F000087_windshield_1,E000087,windshield,1,1
F000088_wheel_2,E000088,wheel,2,2
F000088_wheel_4,E000088,wheel,4,1
F000088_wheel_5,E000088,wheel,5,1
F000089_wheel_1,E000089,wheel,1,2
F000089_engine_1,E000089,engine,1,1
F000091_wheel_1,E000091,wheel,1,2
F000091_windshield_1,E000091,windshield,1,1
F000091_engine_1,E000091,engine,1,1
F000092_wheel_3,E000092,wheel,3,1
F000092_wheel_5,E000092,wheel,5,1
F000092_windshield_4,E000092,windshield,4,1
F000092_engine_2,E000092,engine,2,2
F000092_engine_3,E000092,engine,3,1
F000092_engine_5,E000092,engine,5,1
F000093_wheel_1,E000093,wheel,1,1
F000093_wheel_2,E000093,wheel,2,1
F000093_wheel_6,E000093,wheel,6,1
F000093_windshield_1,E000093,windshield,1,1
F000093_windshield_3,E000093,windshield,3,1
F000093_windshield_7,E000093,windshield,7,1
F000093_engine_7,E000093,engine,7,1
F000095_wheel_2,E000095,wheel,2,3
F000095_body_2,E000095,body,2,1
F000096_wheel_2,E000096,wheel,2,1
F000096_wheel_3,E000096,wheel,3,1
F000096_wheel_7,E000096,wheel,7,1
F000096_windshield_5,E000096,windshield,5,1
F000096_engine_6,E000096,engine,6,1
F000097_engine_2,E000097,engine,2,1
F000099_wheel_4,E000099,wheel,4,1
F000099_wheel_5,E000099,wheel,5,1
F000099_wheel_7,E000099,wheel,7,1
F000099_windshield_1,E000099,windshield,1,1
F000099_windshield_6,E000099,windshield,6,1
F000099_engine_6,E000099,engine,6,1
F000099_engine_7,E000099,engine,7,1
F000100_engine_1,E000100,engine,1,1
F000101_wheel_1,E000101,wheel,1,2
