event_id,part_id,used_qty
E000001,wheel,1
E000001,windshield,2
E000001,engine,1
E000002,wheel,2
E000002,windshield,1
E000002,engine,1
E000003,wheel,1
E000005,wheel,1
E000006,wheel,2
E000006,body,2
E000006,engine,1
E000007,wheel,2
E000007,body,1
E000007,engine,2
E000008,wheel,2
E000008,body,2
E000008,engine,1
E000009,wheel,1
E000009,windshield,1
E000009,engine,1
E000010,wheel,2
E000010,windshield,1
E000010,engine,2
E000011,body,1
E000011,windshield,3
E000011,engine,2
E000012,wheel,1
E000012,body,3
E000012,engine,1
E000013,wheel,1
E000014,wheel,1
E000014,body,1
E000014,windshield,1
E000015,wheel,1
E000016,windshield,1
E000017,wheel,2
E000017,windshield,1
E000018,wheel,3
E000018,body,2
E000018,windshield,1
E000019,wheel,1
E000019,engine,1
E000020,wheel,1
E000020,body,1
E000020,windshield,2
E000020,engine,1
E000021,wheel,1
E000021,body,1
E000022,wheel,3
E000022,body,1
E000022,windshield,2
E000023,wheel,1
E000025,body,1
E000026,wheel,1
E000028,wheel,1
E000029,wheel,1
E000030,body,1
E000031,windshield,1
E000031,engine,1
E000032,wheel,1
E000035,wheel,1
E000035,body,2
E000035,engine,2
E000036,wheel,2
E000036,windshield,1
E000037,wheel,3
E000038,body,1
E000040,wheel,3
E000040,windshield,1
E000040,engine,2
E000042,windshield,2
E000042,engine,2
E000043,wheel,1
E000044,wheel,3
E000044,windshield,2
E000044,engine,1
E000045,wheel,2
E000045,windshield,2
E000046,wheel,2
E000046,engine,1
E000047,windshield,1
E000048,wheel,2
E000048,windshield,2
E000049,wheel,1
E000050,wheel,1
E000051,wheel,2
E000051,body,1
E000051,engine,2
E000052,wheel,1
E000052,engine,1
E000053,wheel,5
E000054,wheel,1
E000054,body,1
E000055,wheel,1
E000055,windshield,1
E000056,wheel,4
E000056,windshield,1
E000057,wheel,1
E000057,windshield,1
E000058,wheel,4
E000059,wheel,1
E000059,engine,1
E000060,wheel,1
E000060,body,5
E000060,windshield,1
E000060,engine,3
E000061,wheel,4
E000061,body,1
E000062,windshield,1
E000063,wheel,2
E000063,engine,1
E000064,engine,1
E000065,engine,2
E000066,wheel,1
E000066,windshield,2
E000067,windshield,1
E000068,body,2
E000068,windshield,1
E000068,engine,2
E000069,windshield,2
E000070,wheel,1
E000071,wheel,1
E000071,windshield,1
E000072,wheel,1
E000072,windshield,1
E000073,wheel,1
E000073,body,1
E000073,windshield,1
E000074,body,1
E000074,windshield,1
E000075,body,1
E000076,engine,1
E000077,wheel,3
E000077,engine,1
E000079,windshield,1
E000079,engine,1
E000080,wheel,1
E000082,wheel,1
E000082,windshield,1
E000083,wheel,1
E000083,body,1
E000083,windshield,1
E000083,engine,1
E000084,windshield,3
E000085,engine,4
E000086,wheel,2
E000086,windshield,1
E000086,engine,1
E000087,wheel,5
E000087,windshield,1
E000088,wheel,4
E000088,body,1
E000088,windshield,1
E000089,wheel,2
E000089,engine,1
E000091,wheel,2
