event_id,had_stockout,extra_trip_required,downtime_hours,total_cost
E000001,True,True,27.5,6292.0
E000002,True,False,28.0,6306.0
E000003,False,False,1.5,426.0
E000004,False,False,0.0,62.0
E000005,False,False,1.5,426.0
E000006,True,False,76.0,11954.0
E000007,True,False,45.5,13984.0
E000008,True,True,52.0,10912.0
E000009,True,True,26.5,6090.0
E000010,True,True,64.0,12762.0
E000011,True,True,105.5,16002.0
E000012,True,True,57.0,12414.0
E000013,False,False,1.5,426.0
E000014,True,True,21.0,2608.0
E000015,True,True,13.5,628.0
E000016,True,True,13.0,422.0
E000017,False,False,4.0,1008.0
E000018,True,True,42.5,5332.0
E000019,False,False,13.5,5626.0
E000020,True,True,34.0,8644.0
E000021,True,True,32.0,3012.0
E000022,True,True,37.0,3690.0
E000023,False,False,1.5,448.0
E000024,False,False,0.0,62.0
E000025,True,True,18.5,2556.0
E000026,False,False,1.5,426.0
E000027,False,False,0.0,62.0
E000028,False,False,1.5,382.0
E000029,False,False,1.5,382.0
E000030,False,False,6.5,1950.0
E000031,False,False,13.0,5590.0
E000032,True,True,13.5,606.0
E000033,False,False,0.0,84.0
E000034,False,False,0.0,84.0
E000035,True,True,74.5,16572.0
E000036,True,True,16.0,1232.0
E000037,True,True,28.5,1426.0
E000038,False,False,6.5,1906.0
E000039,False,False,0.0,84.0
E000040,True,True,53.5,12924.0
E000041,False,False,0.0,106.0
E000042,True,False,38.0,12024.0
E000043,False,False,1.5,382.0
E000044,True,False,42.5,7134.0
E000045,True,True,41.0,1734.0
E000046,True,True,27.0,6148.0
E000047,True,True,13.0,466.0
E000048,True,True,53.0,1892.0
E000049,False,False,1.5,404.0
E000050,False,False,1.5,404.0
E000051,True,True,57.5,14164.0
E000052,True,True,25.5,5872.0
E000053,True,True,43.5,2312.0
E000054,False,False,8.0,2204.0
E000055,False,False,2.5,666.0
E000056,True,False,67.0,2488.0
E000057,True,True,14.5,868.0
E000058,True,True,30.0,1834.0
E000059,False,False,13.5,5670.0
E000060,True,False,167.0,30902.0
